name,top,top_saler,price1,price2,price3,price4,price5,delivery,link,color,size
Костюм Batik Кошечка 2203 розовый 110,1,Бубльгум,4 030 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/batik-koshechka-2203-children-108197788/?c=750000000,"[] розовый:True, ","[]110:True, "
Футболка Baykar 4268 мультиколор 146-152,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-4268-mul-tikolor-108894992/?c=750000000,"[] мультиколор:True, ","[]98-104:True, 110-116:True, 134-140:True, 146-152:True, "
Футболка Let's GO 51225 синий 98,1,Бубльгум,3 770 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/let-s-go-51225-sinii-108547358/?c=750000000,"[] синий:True, ","[]98:True, 104:True, 110:True, 116:True, 122:True, 128:False, "
Конверт Molecula 306Ф Babies 68,1,Бубльгум,17 560 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/molecula-306f-babies-107670984/?c=750000000,"[] белый:True,  розовый:False,  желтый:True, ","[]68:True, 68:False, 68:True, "
Комплект Unique 23331 мультиколор 98,1,Бубльгум,3 750 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/unique-23331-mul-tikolor-107419680/?c=750000000,"[] мультиколор:True, ","[]98:True, 104:True, 110:True, 116:True, 122:True, 128:True, "
Конверт Molekula 306 белый 68,1,Бубльгум,17 560 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/molecula-bis00063120-babies-107670989/?c=750000000,"[] серый:False,  белый:True,  бежевый:False, ","[]68:False, 68:True, 68:False, "
Костюм Batik Мышка 5011 синий 116,1,Бубльгум,6 570 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-myshka-5011-children-108197812/?c=750000000,"[] синий:True, ","[]104:True, 116:True, 122:True, "
Футболка Baykar 4396 Children 2шт белый 98-104,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-4396-children-2sht-belyi-107934249/?c=750000000,"[] белый:True, ","[]98-104:False, 110-116:True, 122-128:True, 134-140:False, 146-152:True, 158-164:True, "
Футболка Baykar 4200 Children 2 шт белый 110-116,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/baykar-4200-children-2-sht-belyi-108200321/?c=750000000,"[] белый:True, ","[]98-104:False, 110-116:False, 122-128:True, 134-140:True, 146-152:True, 158-164:True, "
Футболка Let's GO 51213 серый 98,1,Бубльгум,2 460 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/let-s-go-51213-seryi-108540299/?c=750000000,"[] серый:True, ","[]98:True, 104:True, 110:False, 116:False, 122:False, 128:False, 134:False, "
Бюстгальтер Baykar 4409 176-182,1,Бубльгум,5 525 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/baykar-4409-107985028/?c=750000000,"[] черный:True,  белый:False,  бежевый:True, ","[]158-164:True, 176-182:True, 182-188:False, 170-176:False, 170-176:True, "
Трусы Baykar 3338 мультиколор 110-116,2,ИП АЛЫМОВА-,4 380 ₸,4 402 ₸,5 900 ₸,5 979 ₸,---,"Kaspi Доставка, межгород, 4 марта",https://kaspi.kz/shop/p/baykar-3338-children-108584788/?c=750000000,"[] мультиколор:True, ","[]98-104:True, 110-116:True, 122-128:True, 134-140:True, 146-152:True, 158-164:True, 170-176:False, "
Джемпер Ябольшой 216-479-01 серый 98,1,Бубльгум,3 440 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта",https://kaspi.kz/shop/p/jabol-shoi-216-479-01-seryi-98-108437569/?c=750000000,[],[]
Костюм Батик 9016 к-21 Человек-паук черный 116,1,Бубльгум,18 320 ₸,---,---,---,---,"Kaspi Доставка, межгород, 7 марта, бесплатно",https://kaspi.kz/shop/p/batik-9016-k-21-chelovek-pauk-108106450/?c=750000000,"[] черный:True, ","[]104/3-4Y:False, 116/5-6Y:True, 122/6-7Y:False, 134/8-9Y:False, "
