name,top,top_saler,price1,price2,price3,price4,price5,delivery,link,color,size
"Бамбук M166004Y пеленка-кокон, 1 шт, 60x25 см, хлопок, желтый",1,Бубльгум,3 280 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/bambuk-m166004y-pelenka-kokon-1-sht-60x25-sm-hlopok-zheltyi-105022513/?c=750000000,[],[]
Колготки LB 347 бежевый 104-110,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/lb-347-bezhevyi-106750733/?c=750000000,[],[]
Футболка Let's GO 5279 черный 98,1,Бубльгум,2 440 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/let-s-go-5279-chernyi-108500217/?c=750000000,[],[]
Колготки LB 318 Babies 80-86,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/lb-318-babies-108504531/?c=750000000,[],[]
леггинсы Batik 0017_С22 черный 98,1,Бубльгум,2 930 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/legginsy-batik-0017-s22-chernyi-108492278/?c=750000000,[],[]
Футболка Let's GO 5279 синий 146,1,Бубльгум,2 170 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/let-s-go-5279-children-109265311/?c=750000000,[],[]
Футболка Let's GO 5279 красный 98,1,Бубльгум,2 440 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/let-s-go-5279-krasnyi-108500165/?c=750000000,[],[]
Футболка Baykar 4396 Children 2шт белый 98-104,99,A_SHOP(9 отзывов),5 000 ₸,5 000 ₸,---,---,---,"Kaspi Доставка, межгород, завтра, бесплатноСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-4396-children-2sht-belyi-107934249/?c=750000000,[],[]
Комплект Unique 23331 мультиколор 98,1,Бубльгум,3 750 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/unique-23331-mul-tikolor-107419680/?c=750000000,[],[]
Трусы Baykar 3338 мультиколор 110-116,3,ИП ЖАНҰЗАҚ,4 000 ₸,4 000 ₸,4 225 ₸,4 990 ₸,8 990 ₸,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/baykar-3338-children-108584788/?c=750000000,[],[]
Футболка Let's GO 5279 желтый 98,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/let-s-go-5279-zheltyi-108500111/?c=750000000,[],[]
Трусы Baykar 5583 мультиколор 110-116,99,Vicktoria_kids(7 отзывов),4 200 ₸,---,---,---,---,"Kaspi Доставка, межгород, 16 маяСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-5583-mul-tikolor-108713907/?c=750000000,[],[]
Кардиган Safari 200 мультиколор 140,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/safari-200-mul-tikolor-106296338/?c=750000000,[],[]
Платье Wizzy 2914 розовый 128,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/wizzy-2914-rozovyi-108010992/?c=750000000,[],[]
Костюм Батик Человек-Паук 7011 Children 158,99,Atyrau Books (10 отзывов),11 000 ₸,---,---,---,---,"Kaspi Доставка, межгород, 21 мая, бесплатно",https://kaspi.kz/shop/p/batik-chelovek-pauk-7011-children-108859045/?c=750000000,[],[]
"Jeanees борода, шапка 103-3 2 шт",1,Бубльгум,1 780 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/jeanees-boroda-shapka-103-3-2-sht-108302341/?c=750000000,[],[]
Футболка Batik DS0115/10 синий 110,1,Бубльгум,2 230 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/batik-ds0115-10-sinii-108545328/?c=750000000,[],[]
Трусы Baykar 5280 мультиколор 98-104,1,Бубльгум,2 763 ₸,3 000 ₸,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/baykar-5280-mul-tikolor-108695465/?c=750000000,[],[]
Распашонка Бамбук E011002K 56,1,Бубльгум,3 090 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/raspashonka-bambuk-e011002k-106270195/?c=750000000,[],[]
Колготки LB 313 Babies 86-92,1,Бубльгум,1 860 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-313-babies-108504528/?c=750000000,[],[]
Колготки LB LB-318 розовый 98-104,1,Бубльгум,1 950 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-lb-318-rozovyi-106750680/?c=750000000,[],[]
пижама Batik 0008_ОП синий 128,1,Бубльгум,4 020 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/pizhama-batik-0008-op-sinii-108500962/?c=750000000,[],[]
Костюм Batik Военный Танкист 2077 к-20 черный 140,99,---,---,---,---,---,---,---,https://kaspi.kz/shop/p/batik-voennyi-tankist-2077-k-20-chernyi-109684397/?c=750000000,[],[]
Колготки LB 313 черный 104-110,1,Бубльгум,2 120 ₸,---,---,---,---,"Kaspi Доставка, межгород, 18 мая",https://kaspi.kz/shop/p/lb-313-chernyi-106750618/?c=750000000,[],[]
Колготки LB 347 Babies 80-86,1,Бубльгум,3 520 ₸,---,---,---,---,"Kaspi Доставка, межгород, завтраСамовывоз: завтра",https://kaspi.kz/shop/p/lb-347-babies-108504538/?c=750000000,[],[]
